LOCATION,TIME,UE,CPI,c_ue,c_cpi
CZE,2001-01-01,8.125,75.75833,-7.40740740740741,4.662675784603996
CZE,2002-01-01,7.291667,77.2,-10.25640615384615,1.9029854538768238
CZE,2003-01-01,7.775,77.29166,6.6285665541226715,0.11873056994817396
CZE,2004-01-01,8.291667,79.425,6.645234726688102,2.760116680117886
CZE,2005-01-01,7.941667,80.9,-4.22110535794552,1.8570978910922362
CZE,2006-01-01,7.133333,82.95,-10.178392017696025,2.5339925834363375
CZE,2007-01-01,5.325,85.31667,-25.35046380142354,2.8531283905967437
CZE,2008-01-01,4.408333,90.74167,-17.21440375586855,6.358663553089915
CZE,2009-01-01,6.683333,91.66666,51.60680919522188,1.0193662955508687
CZE,2010-01-01,7.291667,93.01667,9.102254818067573,1.472738288926434
CZE,2011-01-01,6.716667,94.8,-7.885713925224508,1.9172154840632245
CZE,2012-01-01,6.975,97.91666,3.8461486924988164,3.28761603375527
CZE,2013-01-01,6.966667,99.325,-0.11946953405017176,1.4383047787782077
CZE,2014-01-01,6.116667,99.66666,-12.200956354021235,0.3439818776742918
CZE,2015-01-01,5.058333,99.975,-17.302462272345373,0.3093712581519248
CZE,2016-01-01,3.966667,100.6583,-21.581536842275902,0.683470867716932
CZE,2017-01-01,2.908333,103.125,-26.680686833555736,2.450567911439
CZE,2018-01-01,2.266667,105.3417,-22.063016855360097,2.149527272727276
CZE,2019-01-01,2.016667,108.3417,-11.029410142733802,2.8478750580254544
CZE,2020-01-01,2.55,111.7667,26.446260091527247,3.1612943123469512
DEU,1992-01-01,6.566667,68.80289,18.853701357466054,5.056967343466747
DEU,1993-01-01,7.791667,71.88154,18.65482138808014,4.474594017780352
DEU,1994-01-01,8.45,73.81734,8.449193221424874,2.693041913125401
DEU,1995-01-01,8.25,75.07679,-2.3668639053254354,1.706170934904998
DEU,1996-01-01,8.941667,76.1652,8.383842424242433,1.4497290041302993
DEU,1997-01-01,9.675,77.64232,8.20130071942961,1.9393633838025757
DEU,1998-01-01,9.45,78.34978,-2.3255813953488516,0.9111783367627314
DEU,1999-01-01,8.625,78.80847,-8.730158730158724,0.5854387848951258
DEU,2000-01-01,8.008333,79.94353,-7.149762318840575,1.440276660617819
DEU,2001-01-01,7.858333,81.52949,-1.8730489853506385,1.9838503503660647
DEU,2002-01-01,8.683333,82.68787,10.498409777239006,1.4208110464078805
